svm_y8_W,svm_y8_T,svm_y6_W,svm_y6_T,svm_y2_W,svm_y2_T,log_y8_W,log_y8_T,log_y6_W,log_y6_T,log_y2_W,log_y2_T,mnb_y8_code_W,mnb_y8_code_T,mnb_y8_functional-inline_W,mnb_y8_functional-inline_T,mnb_y8_functional-method_W,mnb_y8_functional-method_T,mnb_y8_functional-module_W,mnb_y8_functional-module_T,mnb_y8_general_W,mnb_y8_general_T,mnb_y8_notice_W,mnb_y8_notice_T,mnb_y8_todo_W,mnb_y8_todo_T,mnb_y6_code_W,mnb_y6_code_T,mnb_y6_functional_W,mnb_y6_functional_T,mnb_y6_general_W,mnb_y6_general_T,mnb_y6_notice_W,mnb_y6_notice_T,mnb_y6_todo_W,mnb_y6_todo_T,mnb_y2_functional_W,mnb_y2_functional_T,mnb_y2_non-functional_W,mnb_y2_non-functional_T
-2.191510085508269,max_n,-2.191510849872322,max_n,1.9103428557624078,upit,3.4894835064745706,import,3.1896374195128296,import,5.912483552193792,:,-4.7172307211933235,:,-4.862886239894797,sa,-4.6126714281354815,",",-4.765894547505538,:,-4.563298592761008,",",-4.311939356068321,/,-4.655003793288594,2,-4.7172307211933235,:,-4.852420674451554,sa,-4.563298592761008,",",-4.311939356068321,/,-4.655003793288594,2,-4.951498414005228,sa,-4.810294500271215,u
2.1883744890376313,02,2.1883719787633384,02,1.8051577117106787,=,-3.4114193497924035,^,3.126926858820171,plt,5.577954495163183,SELECT,-4.77976946994508,print,-5.072609147015274,iz,-4.6263262956852085,:,-4.809824081968571,koja,-4.945765929412416,Date,-4.780270864623145,za,-4.785370800175846,),-4.77976946994508,print,-5.001196671249013,-,-4.945765929412416,Date,-4.780270864623145,za,-4.785370800175846,),-5.100096292955858,-,-4.82880646974173,da
-2.1864519494295407,za,-2.1864582952913216,za,1.7605623681470308,izbaciti,3.317467360235688,SELECT,-2.9352762026336796,se,5.468637116282458,pozvati,-4.826195717544547,)),-5.11145454249945,ako,-4.671174331241412,koji,-4.817011293396591,na,-5.0765988322677575,Object,-4.7944783716357975,na,-4.803712085555283,je,-4.826195717544547,)),-5.074437560510874,koji,-5.0765988322677575,Object,-4.7944783716357975,na,-4.803712085555283,je,-5.173239283906526,koji,-4.899873202887394,[
2.1417579438983596,print,2.1417600032237623,print,1.7212509226986223,SELECT,3.3147264470664974,],2.9241509814815996,in,-5.329184519889711,udesno,-4.887143038525389,"""",-5.243875187873936,broj,-4.703374960035859,i,-4.836059897589706,se,-5.0765988322677575,Script,-5.009903655405736,=,-4.84119376934048,TODO,-4.887143038525389,"""",-5.1038288287901885,:,-5.0765988322677575,Script,-5.009903655405736,=,-4.84119376934048,TODO,-5.202589207990943,:,-4.9535407712966,]
-2.121713235321816,u,-2.1217110658403855,u,1.6759030675065913,Ovo,3.290631978085233,plt,2.8971804368997582,SELECT,5.284681243933465,izbaciti,-5.053749012898345,0,-5.306042047705297,koji,-4.752758820268699,Funkcija,-4.91315651878346,-,-5.0765988322677575,dbo,-5.1544272352491785,ne,-4.855440121155162,(,-5.053749012898345,0,-5.177812421092067,iz,-5.0765988322677575,dbo,-5.1544272352491785,ne,-4.855440121155162,(,-5.276463195429237,iz,-5.050665293455232,se
-2.1042619522164543,do,-2.1042635807028347,do,1.6427184217062039,procedure,3.167943931066613,in,2.882325472020745,FROM,5.1940080052315,print,-5.1142360957029505,1,-5.403922167639758,(,-4.767179057384162,@param,-4.947987358909582,1,-5.127724727015216,del-boy,-5.218772167706396,`,-4.8809087896730325,koji,-5.1142360957029505,1,-5.268583692410568,koja,-5.127724727015216,del-boy,-5.218772167706396,`,-4.8809087896730325,koji,-5.367088446383043,koja,-5.1755597247879965,za
-2.022294317351186,neuron,-2.022294408444109,neuron,1.6273282660974204,Napraviti,3.152646571924058,',-2.8399222894865903,modela,5.144393007428385,Ovo,-5.157554999434128,i,-5.433614778157941,),-4.804381185203802,funkcija,-5.127741733676825,prikaz,-5.188399733782011,2020,-5.244648624730501,*,-4.908155485769191,upit,-5.157554999434128,i,-5.2914872822774806,broj,-5.188399733782011,2020,-5.244648624730501,*,-4.908155485769191,upit,-5.389953053454056,broj,-5.186598580016568,je
2.0152042941495436,in,2.015205854807483,in,1.6263824521072758,Zakomentarisati,3.1397795889563564,FROM,-2.7566653834083215,da,5.124751727905693,procedure,-5.253404456084607,np,-5.447660366486329,od,-5.050258547304464,sa,-5.206687825628353,),-5.241863950678683,09/14/2017,-5.277489284842248,sa,-4.916224980018851,sa,-5.253404456084607,np,-5.306002028355745,(,-5.241863950678683,09/14/2017,-5.277489284842248,sa,-4.916224980018851,sa,-5.404442629455195,(,-5.415907963216562,""""""
1.9626823262464168,FROM,1.9626865670655065,FROM,1.623334736060781,print,-3.1380545200862584,se,2.7447203446601365,+,4.927685634677112,Zakomentarisati,-5.375956953708169,tf,-5.504236579555381,li,-5.196413383000381,),-5.225577526864784,(,-5.304388420094393,Created,-5.304086649031436,GET,-4.964938599915012,na,-5.375956953708169,tf,-5.321008389131281,),-5.304388420094393,Created,-5.304086649031436,GET,-4.964938599915012,na,-5.419422581351153,),-5.4453179557625635,/
1.9310909006419965,ENDS,1.9310892287363675,ENDS,1.5734879735535137,Selektujte,-2.939413259998296,na,-2.713275341757416,na,4.590001121683299,Selektujte,-5.466511794548382,+,-5.519531429137945,:,-5.197834501979649,(,-5.23606797271379,koji,-5.415053584400213,2,-5.338719646071405,',-5.049820394686586,3,-5.466511794548382,+,-5.407823710292458,ako,-5.415053584400213,2,-5.338719646071405,',-5.049820394686586,3,-5.506077107372997,ako,-5.448656438451568,*
