With default hyperparams
svm_y8columns_weights,svm_y8columns_tokens,svm_y6columns_weights,svm_y6columns_tokens,svm_y2columns_weights,svm_y2columns_tokens,log_y8columns_weights,log_y8columns_tokens,log_y6columns_weights,log_y6columns_tokens,log_y2columns_weights,log_y2columns_tokens,mnb_y8columns_weights,mnb_y8columns_tokens,mnb_y6columns_weights,mnb_y6columns_tokens,mnb_y2columns_weights,mnb_y2columns_tokens
0.4595125531137663,IF,0.45951248315589205,IF,0.5927042831900416,ParserElement.enablePackrat (,0.572603669462764,(,0.5255014033149773,",",1.2646514682350838,if (,-6.770164866018293,{,-6.770164866018293,{,-5.978627729516589,[
0.4099624634536753,include <,0.40996237577531597,include <,0.5903211403898058,ax.legend (,0.5507475876345547,{,0.5092774543299557,[ Map.OneOrMore,1.2321995644689026,) ;,-6.792637721870351,`` '',-6.792637721870351,`` '',-6.014287909915473,]
0.39004762949103194,define,0.39004760157691665,define,0.5903211403898058,ax.legend,0.5390738811813539,struct,0.5092774543299557,Map.OneOrMore,1.2148472747152588,FIXME :,-6.863255289084305,*,-6.863255289084305,*,-6.171192653725305,@
0.38298450630569286,= ``,0.382984390149919,= ``,0.5867463523810263,ParserElement.enablePackrat,0.5247089251791567,#,0.5092774543299557,Map.OneOrMore ],1.1578982672554787,noqa,-6.9005266838815364,},-6.9005266838815364,},-6.194631226697322,is
0.3783530880219612,# ifdef,0.37835307530588863,# ifdef,0.5793023629712805,if (,0.5188598029878174,Map.OneOrMore,0.49863489354448437,ParserElement.enablePackrat (,1.066482820119641,your,-6.965909443144388,\r,-6.965909443144388,\r,-6.281283343758532,( )
0.3783530880219612,__linux__,0.37835307530588863,__linux__,0.574210110642456,Forward references,0.5188598029878174,[ Map.OneOrMore,0.49863482454523095,ParserElement.enablePackrat,1.036379579786122,@ todo,-6.965909443144388,) ),-6.965909443144388,) ),-6.294298711870602,of
0.3783530880219612,ifdef,0.37835307530588863,ifdef __linux__,0.574210110642456,Forward,0.5188598029878174,Map.OneOrMore ],0.4979560136754253,ax.legend (,1.0153470845615518,] $,-7.126839809957025,( ``,-7.126839809957025,( ``,-6.338948985608341,a
0.3783530880219612,ifdef __linux__,0.37835307530588863,ifdef,0.5573978178611837,=,0.5104246229645449,ax.legend (,0.4979560136754253,ax.legend,1.0071663502004637,Note that,-7.192437092442838,',-7.192437092442838,',-6.460162556361514,in
0.3426042746854533,void,0.3426043837326068,void,0.5566000924191239,Select,0.5104246229645449,ax.legend,0.4966376645647128,(,0.9926981231029703,I,-7.318730817767131,if,-7.318730817767131,if,-6.47052534339706,'' ''
0.33665602378160536,< <,0.33665646380594516,< <,0.5478377041936902,# define,0.5104055656029209,ParserElement.enablePackrat (,0.48153945704417667,struct,0.9767408877063462,NOT,-7.338148903624232,i,-7.338148903624232,i,-6.50227404171164,{
